Date;ICCO_USD
20/04/2023;2,849.07
19/04/2023;2,863.43
18/04/2023;2,857.85
17/04/2023;2,814.04
14/04/2023;2,825.76
13/04/2023;2,842.12
12/04/2023;2,799.41
11/04/2023;2,822.21
10/04/2023;2,791.46
06/04/2023;2,800.12
05/04/2023;2,788.62
04/04/2023;2,784.86
03/04/2023;2,740.75
31/03/2023;2,784.13
30/03/2023;2,766.36
29/03/2023;2,733.92
28/03/2023;2,758.26
27/03/2023;2,746.73
24/03/2023;2,723.91
23/03/2023;2,720.08
22/03/2023;2,722.74
21/03/2023;2,683.55
20/03/2023;2,666.61
17/03/2023;2,629.73
16/03/2023;2,582.35
15/03/2023;2,533.28
14/03/2023;2,574.83
13/03/2023;2,566.58
10/03/2023;2,605.70
09/03/2023;2,624.93
08/03/2023;2,622.63
07/03/2023;2,640.07
06/03/2023;2,677.49
03/03/2023;2,644.58
02/03/2023;2,667.03
01/03/2023;2,714.43
28/02/2023;2,671.67
27/02/2023;2,641.92
24/02/2023;2,621.40
23/02/2023;2,644.62
22/02/2023;2,653.76
21/02/2023;2,655.58
20/02/2023;2,659.06
17/02/2023;2,642.38
16/02/2023;2,622.42
15/02/2023;2,610.18
14/02/2023;2,568.22
13/02/2023;2,560.07
10/02/2023;2,510.08
09/02/2023;2,516.96
08/02/2023;2,523.33
07/02/2023;2,517.44
06/02/2023;2,518.71
03/02/2023;2,517.90
02/02/2023;2,543.58
01/02/2023;2,547.94
31/01/2023;2,546.56
30/01/2023;2,573.24
27/01/2023;2,572.82
26/01/2023;2,569.02
25/01/2023;2,538.41
24/01/2023;2,526.00
23/01/2023;2,539.18
20/01/2023;2,506.81
19/01/2023;2,504.49
18/01/2023;2,552.66
17/01/2023;2,566.02
16/01/2023;2,558.95
13/01/2023;2,564.27
12/01/2023;2,554.53
11/01/2023;2,545.18
10/01/2023;2,521.95
09/01/2023;2,584.13
06/01/2023;2,518.50
05/01/2023;2,520.64
04/01/2023;2,512.98
03/01/2023;2,484.48
30/12/2022;2,515.59
29/12/2022;2,491.01
28/12/2022;2,526.92
27/12/2022;2,527.04
23/12/2022;2,526.48
22/12/2022;2,504.16
21/12/2022;2,449.39
20/12/2022;2,428.64
19/12/2022;2,423.62
16/12/2022;2,406.36
15/12/2022;2,439.16
14/12/2022;2,449.54
13/12/2022;2,446.09
12/12/2022;2,420.85
09/12/2022;2,427.25
08/12/2022;2,453.82
07/12/2022;2,418.64
06/12/2022;2,408.53
05/12/2022;2,402.85
02/12/2022;2,454.96
01/12/2022;2,450.85
30/11/2022;2,413.51
29/11/2022;2,406.73
28/11/2022;2,414.21
25/11/2022;2,410.83
24/11/2022;2,393.01
23/11/2022;2,369.72
22/11/2022;2,370.08
21/11/2022;2,366.70
18/11/2022;2,369.13
17/11/2022;2,358.20
16/11/2022;2,392.96
15/11/2022;2,386.65
14/11/2022;2,403.50
11/11/2022;2,426.53
10/11/2022;2,467.62
09/11/2022;2,436.79
08/11/2022;2,429.10
07/11/2022;2,401.31
04/11/2022;2,349.37
03/11/2022;2,279.89
02/11/2022;2,297.22
01/11/2022;2,267.97
31/10/2022;2,253.61
28/10/2022;2,238.25
27/10/2022;2,248.55
26/10/2022;2,231.16
25/10/2022;2,236.03
24/10/2022;2,259.18
21/10/2022;2,236.50
20/10/2022;2,238.07
19/10/2022;2,219.30
18/10/2022;2,223.98
17/10/2022;2,243.68
14/10/2022;2,267.67
13/10/2022;2,273.60
12/10/2022;2,214.84
11/10/2022;2,244.18
10/10/2022;2,245.87
07/10/2022;2,274.35
06/10/2022;2,249.21
05/10/2022;2,267.94
04/10/2022;2,256.64
03/10/2022;2,222.50
30/09/2022;2,230.27
29/09/2022;2,214.19
28/09/2022;2,165.79
27/09/2022;2,150.75
26/09/2022;2,118.19
23/09/2022;2,270.57
22/09/2022;2,204.12
21/09/2022;2,225.75
20/09/2022;2,233.87
19/09/2022;2,240.96
16/09/2022;2,237.12
15/09/2022;2,245.94
14/09/2022;2,207.60
13/09/2022;2,230.65
12/09/2022;2,265.62
09/09/2022;2,248.17
08/09/2022;2,216.46
07/09/2022;2,237.74
06/09/2022;2,250.21
05/09/2022;2,260.45
02/09/2022;2,276.02
01/09/2022;2,242.76
31/08/2022;2,282.30
30/08/2022;2,274.61
29/08/2022;2,283.00
26/08/2022;2,280.21
25/08/2022;2,278.31
24/08/2022;2,262.51
23/08/2022;2,220.25
22/08/2022;2,234.58
19/08/2022;2,256.82
18/08/2022;2,292.40
17/08/2022;2,298.22
16/08/2022;2,266.70
15/08/2022;2,289.56
12/08/2022;2,274.20
11/08/2022;2,315.45
10/08/2022;2,314.87
09/08/2022;2,277.19
08/08/2022;2,259.20
05/08/2022;2,232.07
04/08/2022;2,268.48
03/08/2022;2,220.24
02/08/2022;2,271.97
01/08/2022;2,269.87
29/07/2022;2,248.67
28/07/2022;2,236.91
27/07/2022;2,257.91
26/07/2022;2,294.35
25/07/2022;2,270.64
22/07/2022;2,209.52
21/07/2022;2,223.29
20/07/2022;2,265.23
19/07/2022;2,255.87
18/07/2022;2,233.70
15/07/2022;2,221.21
14/07/2022;2,163.14
13/07/2022;2,216.98
12/07/2022;2,257.04
11/07/2022;2,263.46
08/07/2022;2,232.76
07/07/2022;2,254.00
06/07/2022;2,246.85
05/07/2022;2,220.50
04/07/2022;2,231.50
01/07/2022;2,227.71
30/06/2022;2,250.53
29/06/2022;2,266.00
28/06/2022;2,296.01
27/06/2022;2,311.76
24/06/2022;2,332.41
23/06/2022;2,322.57
22/06/2022;2,344.35
21/06/2022;2,351.46
20/06/2022;2,333.47
17/06/2022;2,316.00
16/06/2022;2,283.57
15/06/2022;2,275.93
14/06/2022;2,231.59
13/06/2022;2,244.80
10/06/2022;2,308.21
09/06/2022;2,345.87
08/06/2022;2,362.91
07/06/2022;2,373.92
06/06/2022;2,378.70
03/06/2022;2,371.02
02/06/2022;2,382.93
01/06/2022;2,395.17
31/05/2022;2,379.43
30/05/2022;2,379.85
27/05/2022;2,348.28
26/05/2022;2,345.01
25/05/2022;2,309.31
24/05/2022;2,337.62
23/05/2022;2,343.46
20/05/2022;2,320.23
19/05/2022;2,351.43
18/05/2022;2,359.71
17/05/2022;2,387.14
16/05/2022;2,377.87
13/05/2022;2,349.04
12/05/2022;2,319.00
11/05/2022;2,368.90
10/05/2022;2,333.93
09/05/2022;2,339.92
06/05/2022;2,370.96
05/05/2022;2,386.00
04/05/2022;2,445.49
03/05/2022;2,459.97
02/05/2022;2,453.02
29/04/2022;2,429.26
28/04/2022;2,421.00
27/04/2022;2,403.08
26/04/2022;2,393.45
25/04/2022;2,379.61
22/04/2022;2,429.52
21/04/2022;2,479.17
20/04/2022;2,480.45
19/04/2022;2,455.83
18/04/2022;2,466.99
14/04/2022;2,492.69
13/04/2022;2,476.59
12/04/2022;2,483.27
11/04/2022;2,510.33
08/04/2022;2,521.30
07/04/2022;2,472.24
06/04/2022;2,449.09
05/04/2022;2,433.40
04/04/2022;2,453.30
01/04/2022;2,476.41
31/03/2022;2,513.46
30/03/2022;2,513.28
29/03/2022;2,498.87
28/03/2022;2,471.81
25/03/2022;2,447.47
24/03/2022;2,450.78
23/03/2022;2,496.77
22/03/2022;2,454.62
21/03/2022;2,402.80
18/03/2022;2,425.16
17/03/2022;2,395.39
16/03/2022;2,407.89
15/03/2022;2,405.01
14/03/2022;2,483.61
11/03/2022;2,498.46
10/03/2022;2,528.14
09/03/2022;2,513.31
08/03/2022;2,488.10
07/03/2022;2,486.91
04/03/2022;2,473.13
03/03/2022;2,434.35
02/03/2022;2,416.72
01/03/2022;2,405.70
28/02/2022;2,422.96
25/02/2022;2,487.02
24/02/2022;2,489.84
23/02/2022;2,544.20
22/02/2022;2,517.29
21/02/2022;2,509.37
18/02/2022;2,517.00
17/02/2022;2,533.16
16/02/2022;2,565.55
15/02/2022;2,598.19
14/02/2022;2,573.04
11/02/2022;2,650.64
10/02/2022;2,663.84
09/02/2022;2,636.59
08/02/2022;2,572.47
07/02/2022;2,544.27
04/02/2022;2,576.57
03/02/2022;2,554.33
02/02/2022;2,539.07
01/02/2022;2,523.50
31/01/2022;2,448.05
28/01/2022;2,420.58
27/01/2022;2,388.42
26/01/2022;2,446.47
25/01/2022;2,432.81
24/01/2022;2,429.64
21/01/2022;2,503.86
20/01/2022;2,563.27
19/01/2022;2,567.06
18/01/2022;2,551.61
17/01/2022;2,565.53
14/01/2022;2,567.27
13/01/2022;2,525.82
12/01/2022;2,481.59
11/01/2022;2,490.14
10/01/2022;2,438.54
07/01/2022;2,441.38
06/01/2022;2,358.93
05/01/2022;2,394.70
04/01/2022;2,392.21
03/01/2022;2,406.58
31/12/2021;2,439.31
30/12/2021;2,450.10
29/12/2021;2,416.78
28/12/2021;2,395.82
27/12/2021;2,389.26
23/12/2021;2,383.89
22/12/2021;2,376.01
21/12/2021;2,369.64
20/12/2021;2,343.55
17/12/2021;2,400.57
16/12/2021;2,439.42
15/12/2021;2,431.34
14/12/2021;2,402.77
13/12/2021;2,408.96
10/12/2021;2,356.03
09/12/2021;2,352.38
08/12/2021;2,367.17
07/12/2021;2,375.23
06/12/2021;2,369.60
03/12/2021;2,365.66
02/12/2021;2,354.65
01/12/2021;2,281.29
30/11/2021;2,275.53
29/11/2021;2,303.33
26/11/2021;2,319.05
25/11/2021;2,380.33
24/11/2021;2,405.40
23/11/2021;2,461.39
22/11/2021;2,465.78
19/11/2021;2,458.20
18/11/2021;2,461.45
17/11/2021;2,442.54
16/11/2021;2,425.00
15/11/2021;2,417.37
12/11/2021;2,388.76
11/11/2021;2,406.73
10/11/2021;2,388.15
09/11/2021;2,351.48
08/11/2021;2,364.83
05/11/2021;2,344.07
04/11/2021;2,366.66
03/11/2021;2,374.13
02/11/2021;2,394.98
01/11/2021;2,458.01
29/10/2021;2,461.66
28/10/2021;2,499.98
27/10/2021;2,511.85
26/10/2021;2,518.11
25/10/2021;2,533.92
22/10/2021;2,521.69
21/10/2021;2,516.10
20/10/2021;2,484.42
19/10/2021;2,514.93
18/10/2021;2,560.84
15/10/2021;2,565.03
14/10/2021;2,550.41
13/10/2021;2,556.97
12/10/2021;2,610.78
11/10/2021;2,616.10
08/10/2021;2,664.46
07/10/2021;2,643.27
06/10/2021;2,632.80
05/10/2021;2,665.53
04/10/2021;2,662.51
01/10/2021;2,627.59
30/09/2021;2,583.06
29/09/2021;2,531.84
28/09/2021;2,497.12
27/09/2021;2,497.70
24/09/2021;2,528.20
23/09/2021;2,558.05
22/09/2021;2,586.81
21/09/2021;2,546.15
20/09/2021;2,527.97
17/09/2021;2,587.51
16/09/2021;2,581.61
15/09/2021;2,580.95
14/09/2021;2,573.89
13/09/2021;2,556.65
10/09/2021;2,543.81
09/09/2021;2,588.96
08/09/2021;2,598.04
07/09/2021;2,616.25
06/09/2021;2,589.29
03/09/2021;2,569.93
02/09/2021;2,546.41
01/09/2021;2,487.85
31/08/2021;2,484.58
30/08/2021;2,520.24
27/08/2021;2,522.33
26/08/2021;2,542.77
25/08/2021;2,539.96
24/08/2021;2,517.26
23/08/2021;2,508.96
20/08/2021;2,506.77
19/08/2021;2,547.48
18/08/2021;2,576.14
17/08/2021;2,560.53
16/08/2021;2,549.24
13/08/2021;2,512.70
12/08/2021;2,488.12
11/08/2021;2,489.95
10/08/2021;2,455.88
09/08/2021;2,411.34
06/08/2021;2,405.01
05/08/2021;2,386.50
04/08/2021;2,382.89
03/08/2021;2,396.39
02/08/2021;2,349.82
30/07/2021;2,356.79
29/07/2021;2,403.22
28/07/2021;2,400.17
27/07/2021;2,370.52
26/07/2021;2,359.78
23/07/2021;2,303.78
22/07/2021;2,288.89
21/07/2021;2,256.91
20/07/2021;2,238.31
19/07/2021;2,239.81
16/07/2021;2,303.39
15/07/2021;2,339.19
14/07/2021;2,369.10
13/07/2021;2,375.88
12/07/2021;2,398.70
09/07/2021;2,326.82
08/07/2021;2,281.47
07/07/2021;2,301.41
06/07/2021;2,300.06
05/07/2021;2,326.10
02/07/2021;2,316.82
01/07/2021;2,339.08
30/06/2021;2,363.34
29/06/2021;2,360.04
28/06/2021;2,352.97
25/06/2021;2,351.99
24/06/2021;2,330.20
23/06/2021;2,355.42
22/06/2021;2,373.26
21/06/2021;2,359.54
18/06/2021;2,354.33
17/06/2021;2,366.52
16/06/2021;2,388.99
15/06/2021;2,398.39
14/06/2021;2,380.54
11/06/2021;2,350.64
10/06/2021;2,366.93
09/06/2021;2,340.63
08/06/2021;2,362.25
07/06/2021;2,349.79
04/06/2021;2,385.64
03/06/2021;2,376.69
02/06/2021;2,392.47
01/06/2021;2,396.57
28/05/2021;2,392.69
27/05/2021;2,395.41
26/05/2021;2,399.44
25/05/2021;2,374.05
24/05/2021;2,384.38
21/05/2021;2,418.03
20/05/2021;2,419.25
19/05/2021;2,444.77
18/05/2021;2,488.91
17/05/2021;2,504.44
14/05/2021;2,456.34
13/05/2021;2,474.28
12/05/2021;2,473.47
11/05/2021;2,436.79
10/05/2021;2,462.71
07/05/2021;2,408.20
06/05/2021;2,357.98
05/05/2021;2,345.64
04/05/2021;2,300.09
03/05/2021;2,320.39
30/04/2021;2,336.07
29/04/2021;2,425.04
28/04/2021;2,406.18
27/04/2021;2,410.08
26/04/2021;2,412.04
23/04/2021;2,387.80
22/04/2021;2,383.47
21/04/2021;2,378.20
20/04/2021;2,359.69
19/04/2021;2,409.60
16/04/2021;2,379.56
15/04/2021;2,372.82
14/04/2021;2,346.83
13/04/2021;2,331.48
12/04/2021;2,300.98
09/04/2021;2,304.74
08/04/2021;2,327.92
07/04/2021;2,359.92
06/04/2021;2,370.76
05/04/2021;2,357.71
01/04/2021;2,374.10
31/03/2021;2,347.85
30/03/2021;2,336.02
29/03/2021;2,402.98
26/03/2021;2,414.94
25/03/2021;2,415.16
24/03/2021;2,386.93
23/03/2021;2,396.49
22/03/2021;2,438.43
19/03/2021;2,436.91
18/03/2021;2,477.13
17/03/2021;2,449.64
16/03/2021;2,464.70
15/03/2021;2,472.51
12/03/2021;2,506.39
11/03/2021;2,519.66
10/03/2021;2,501.50
09/03/2021;2,483.56
08/03/2021;2,472.68
05/03/2021;2,485.97
04/03/2021;2,553.50
03/03/2021;2,571.29
02/03/2021;2,554.58
01/03/2021;2,547.91
26/02/2021;2,507.04
25/02/2021;2,520.12
24/02/2021;2,468.07
23/02/2021;2,428.30
22/02/2021;2,422.60
19/02/2021;2,371.71
18/02/2021;2,323.64
17/02/2021;2,311.74
16/02/2021;2,343.72
15/02/2021;2,366.43
12/02/2021;2,394.93
11/02/2021;2,378.55
10/02/2021;2,451.64
09/02/2021;2,401.55
08/02/2021;2,398.96
05/02/2021;2,411.79
04/02/2021;2,386.81
03/02/2021;2,381.57
02/02/2021;2,426.34
01/02/2021;2,413.32
29/01/2021;2,401.55
28/01/2021;2,390.45
27/01/2021;2,380.30
26/01/2021;2,408.26
25/01/2021;2,389.59
22/01/2021;2,412.65
