Data
29.12.2024
28.12.2024
27.12.2024
26.12.2024
22.12.2024
21.12.2024
20.12.2024
19.12.2024
18.12.2024
15.12.2024
14.12.2024
13.12.2024
12.12.2024
11.12.2024
08.12.2024
07.12.2024
06.12.2024
05.12.2024
04.12.2024
01.12.2024
30.11.2024
29.11.2024
28.11.2024
27.11.2024
24.11.2024
22.11.2024
21.11.2024
02.02.2024;2.583,00
01.02.2024;2.592,00
31.01.2024;2.581,00
30.01.2024;2.611,00
27.01.2024;2.627,00
26.01.2024;2.629,00
25.01.2024;2.592,00
24.01.2024;2.585,00
23.01.2024;2.608,00
20.01.2024;2.569,00
19.01.2024;2.570,00
18.01.2024;2.620,00
17.01.2024;2.641,00
13.01.2024;2.651,00
12.01.2024;2.640,00
11.01.2024;2.633,00
10.01.2024;2.604,00
09.01.2024;2.690,00
06.01.2024;2.605,00
05.01.2024;2.617,00
04.01.2024;2.603,00
03.01.2024;2.572,00
