Data;Valor;;;;;
09.08.2020;2.436,00;;;;;
02.08.2020;2.546,00;;;;;
26.07.2020;2.400,00;;;;;
19.07.2020;2.224,00;;;;;
12.07.2020;2.160,00;;;;;
05.07.2020;2.278,00;;;;;
28.06.2020;2.214,00;;;;;
21.06.2020;2.352,00;;;;;
14.06.2020;2.387,00;;;;;
07.06.2020;2.396,00;;;;;
31.05.2020;2.398,00;;;;;
24.05.2020;2.454,00;;;;;
17.05.2020;2.394,00;;;;;
10.05.2020;2.399,00;;;;;
03.05.2020;2.418,00;;;;;
26.04.2020;2.420,00;;;;;
19.04.2020;2.341,00;;;;;
12.04.2020;2.379,00;;;;;
05.04.2020;2.305,00;;;;;
29.03.2020;2.264,00;;;;;
22.03.2020;2.257,00;;;;;
15.03.2020;2.230,00;;;;;
08.03.2020;2.482,00;;;;;
01.03.2020;2.702,00;;;;;
23.02.2020;2.760,00;;;;;
16.02.2020;2.922,00;;;;;
09.02.2020;2.904,00;;;;;
02.02.2020;2.900,00;;;;;
26.01.2020;2.777,00;;;;;
19.01.2020;2.733,00;;;;;
12.01.2020;2.797,00;;;;;
05.01.2020;2.589,00;;;;;
29.12.2019;2.519,00;;;;;
22.12.2019;2.497,00;;;;;
15.12.2019;2.417,00;;;;;
08.12.2019;2.660,00;;;;;
01.12.2019;2.652,00;;;;;
24.11.2019;2.617,00;;;;;
17.11.2019;2.666,00;;;;;
10.11.2019;2.766,00;;;;;
03.11.2019;2.503,00;;;;;
27.10.2019;2.478,00;;;;;
20.10.2019;2.435,00;;;;;
13.10.2019;2.486,00;;;;;
06.10.2019;2.506,00;;;;;
29.09.2019;2.475,00;;;;;
22.09.2019;2.490,00;;;;;
15.09.2019;2.473,00;;;;;
08.09.2019;2.296,00;;;;;
01.09.2019;2.216,00;;;;;
25.08.2019;2.161,00;;;;;
18.08.2019;2.208,00;;;;;
11.08.2019;2.111,00;;;;;
04.08.2019;2.195,00;;;;;
28.07.2019;2.320,00;;;;;
21.07.2019;2.389,00;;;;;
14.07.2019;2.467,00;;;;;
07.07.2019;2.528,00;;;;;
30.06.2019;2.488,00;;;;;
23.06.2019;2.450,00;;;;;
16.06.2019;2.527,00;;;;;
09.06.2019;2.502,00;;;;;
02.06.2019;2.478,00;;;;;
26.05.2019;2.400,00;;;;;
19.05.2019;2.467,00;;;;;
12.05.2019;2.353,00;;;;;
05.05.2019;2.330,00;;;;;
28.04.2019;2.378,00;;;;;
21.04.2019;2.344,00;;;;;
14.04.2019;2.380,00;;;;;
07.04.2019;2.424,00;;;;;
31.03.2019;2.413,00;;;;;
24.03.2019;2.280,00;;;;;
17.03.2019;2.159,00;;;;;
10.03.2019;2.197,00;;;;;
03.03.2019;2.199,00;;;;;
24.02.2019;2.218,00;;;;;
17.02.2019;2.269,00;;;;;
10.02.2019;2.307,00;;;;;
03.02.2019;2.196,00;;;;;
27.01.2019;2.168,00;;;;;
20.01.2019;2.225,00;;;;;
13.01.2019;2.307,00;;;;;
06.01.2019;2.356,00;;;;;
30.12.2018;2.361,00;;;;;
23.12.2018;2.408,00;;;;;
16.12.2018;2.271,00;;;;;
09.12.2018;2.237,00;;;;;
02.12.2018;2.175,00;;;;;
25.11.2018;2.144,00;;;;;
18.11.2018;2.061,00;;;;;
11.11.2018;2.193,00;;;;;
04.11.2018;2.250,00;;;;;
28.10.2018;2.267,00;;;;;
21.10.2018;2.251,00;;;;;
14.10.2018;2.162,00;;;;;
07.10.2018;2.160,00;;;;;
30.09.2018;2.024,00;;;;;
23.09.2018;2.057,00;;;;;
16.09.2018;2.167,00;;;;;
09.09.2018;2.219,00;;;;;
02.09.2018;2.288,00;;;;;
26.08.2018;2.323,00;;;;;
19.08.2018;2.374,00;;;;;
12.08.2018;2.115,00;;;;;
05.08.2018;2.086,00;;;;;
29.07.2018;2.046,00;;;;;
22.07.2018;2.233,00;;;;;
15.07.2018;2.322,00;;;;;
08.07.2018;2.517,00;;;;;
01.07.2018;2.459,00;;;;;
24.06.2018;2.476,00;;;;;
17.06.2018;2.484,00;;;;;
10.06.2018;2.552,00;;;;;
03.06.2018;2.393,00;;;;;
27.05.2018;2.458,00;;;;;
20.05.2018;2.556,00;;;;;
13.05.2018;2.678,00;;;;;
06.05.2018;2.801,00;;;;;
29.04.2018;2.799,00;;;;;
22.04.2018;2.851,00;;;;;
15.04.2018;2.749,00;;;;;
08.04.2018;2.564,00;;;;;
01.04.2018;2.453,00;;;;;
25.03.2018;2.556,00;;;;;
18.03.2018;2.615,00;;;;;
11.03.2018;2.522,00;;;;;
04.03.2018;2.478,00;;;;;
25.02.2018;2.320,00;;;;;
18.02.2018;2.204,00;;;;;
11.02.2018;2.138,00;;;;;
04.02.2018;2.031,00;;;;;
28.01.2018;2.059,00;;;;;
21.01.2018;1.986,00;;;;;
14.01.2018;1.931,00;;;;;
07.01.2018;1.914,00;;;;;
